metabolite_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	direction	feature	coef	stderr	N	N.not.0	pval	qval	original_metabolite_id
C18n_QI3818	UC_vs_non_IBD	model_group	UC	-5.08927408800995	1.12592914417083	3.59891975984899e-5	0.0135615138392979	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI3818	-5.08927408800995	1.12592914417083	56	56	3.59891975984899e-5	0.0135615138392979	C18n_QI3818
C18n_QI5129	UC_vs_non_IBD	model_group	UC	-5.26058776542362	1.16385612119989	3.6001636997094e-5	0.0135615138392979	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI5129	-5.26058776542362	1.16385612119989	56	56	3.6001636997094e-5	0.0135615138392979	C18n_QI5129
C18n_QI9068	UC_vs_non_IBD	model_group	UC	2.20214720664902	0.487405794533389	3.62298348376026e-5	0.0136050905866249	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI9068	2.20214720664902	0.487405794533389	56	56	3.62298348376026e-5	0.0136050905866249	C18n_QI9068
HILn_QI29250	UC_vs_non_IBD	model_group	UC	-4.23603046128038	0.937898931585007	3.64251030744124e-5	0.0136360700109963	56	Maaslin2_LM_LOG	lower_in_case_group	HILn_QI29250	-4.23603046128038	0.937898931585007	56	56	3.64251030744124e-5	0.0136360700109963	HILn_QI29250
HILn_QI8292	UC_vs_non_IBD	model_group	UC	2.38264241278422	0.528168245248217	3.70929824337965e-5	0.0137681469941952	56	Maaslin2_LM_LOG	higher_in_case_group	HILn_QI8292	2.38264241278422	0.528168245248217	56	56	3.70929824337965e-5	0.0137681469941952	HILn_QI8292
C18n_QI11408	UC_vs_non_IBD	model_group	UC	4.12336041066661	0.91420530083001	3.71961496756295e-5	0.0137681469941952	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI11408	4.12336041066661	0.91420530083001	56	56	3.71961496756295e-5	0.0137681469941952	C18n_QI11408
HILp_QI1023	UC_vs_non_IBD	model_group	UC	1.97084057862377	0.436990896529306	3.72333653145259e-5	0.0137681469941952	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI1023	1.97084057862377	0.436990896529306	56	56	3.72333653145259e-5	0.0137681469941952	HILp_QI1023
C8p_QI7832	UC_vs_non_IBD	model_group	UC	4.14390289739824	0.919647976130055	3.77483812648866e-5	0.013916032822523	56	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI7832	4.14390289739824	0.919647976130055	56	56	3.77483812648866e-5	0.013916032822523	C8p_QI7832
HILn_QI14817	UC_vs_non_IBD	model_group	UC	-4.0561312296768	0.900585249213921	3.80152548629677e-5	0.0139718194149554	56	Maaslin2_LM_LOG	lower_in_case_group	HILn_QI14817	-4.0561312296768	0.900585249213921	56	56	3.80152548629677e-5	0.0139718194149554	HILn_QI14817
C8p_QI6409	CD_vs_non_IBD	model_group	CD	4.94747023171726	0.851844066572662	1.64383317384784e-7	0.0139906124564502	75	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI6409	4.94747023171726	0.851844066572662	75	75	1.64383317384784e-7	0.0139906124564502	C8p_QI6409
C8p_QI21618	CD_vs_non_IBD	model_group	CD	6.48796511724109	1.15305453520319	3.4088894041568e-7	0.0139906124564502	75	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI21618	6.48796511724109	1.15305453520319	75	75	3.4088894041568e-7	0.0139906124564502	C8p_QI21618
C18n_QI7993	CD_vs_non_IBD	model_group	CD	5.10906290597471	0.918074697510555	4.36398044650753e-7	0.0139906124564502	75	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI7993	5.10906290597471	0.918074697510555	75	75	4.36398044650753e-7	0.0139906124564502	C18n_QI7993
C18n_QI8231	CD_vs_non_IBD	model_group	CD	3.89205808981194	0.70124141809985	4.62813227359042e-7	0.0139906124564502	75	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI8231	3.89205808981194	0.70124141809985	75	75	4.62813227359042e-7	0.0139906124564502	C18n_QI8231
C18n_QI4406	UC_vs_non_IBD	model_group	UC	5.99005435654803	1.33078039282094	3.83671537722517e-5	0.0140165504260239	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI4406	5.99005435654803	1.33078039282094	56	56	3.83671537722517e-5	0.0140165504260239	C18n_QI4406
HILp_QI12297	UC_vs_non_IBD	model_group	UC	2.77321935159114	0.616145532291267	3.8398700189617e-5	0.0140165504260239	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI12297	2.77321935159114	0.616145532291267	56	56	3.8398700189617e-5	0.0140165504260239	HILp_QI12297
HILn_QI29473	UC_vs_non_IBD	model_group	UC	-4.71749269975378	1.04827245101232	3.84847147772864e-5	0.0140165504260239	56	Maaslin2_LM_LOG	lower_in_case_group	HILn_QI29473	-4.71749269975378	1.04827245101232	56	56	3.84847147772864e-5	0.0140165504260239	HILn_QI29473
HILp_QI5529	UC_vs_non_IBD	model_group	UC	4.81199915905856	1.07129814545501	3.96075916456505e-5	0.0143158172287355	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI5529	4.81199915905856	1.07129814545501	56	56	3.96075916456505e-5	0.0143158172287355	HILp_QI5529
C18n_QI8533	UC_vs_non_IBD	model_group	UC	-1.69196760417979	0.376717531860682	3.96615786866008e-5	0.0143158172287355	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI8533	-1.69196760417979	0.376717531860682	56	56	3.96615786866008e-5	0.0143158172287355	C18n_QI8533
