original_metabolite_id	maaslin_metabolite_id
C18n_QI2016	C18n_QI2016
C18n_QI2023	C18n_QI2023
C18n_QI2026	C18n_QI2026
C18n_QI2073	C18n_QI2073
C18n_QI2101	C18n_QI2101
C18n_QI2192	C18n_QI2192
C18n_QI2230	C18n_QI2230
C18n_QI2338	C18n_QI2338
C18n_QI2421	C18n_QI2421
C18n_QI2462	C18n_QI2462
C18n_QI2467	C18n_QI2467
C18n_QI2542	C18n_QI2542
C18n_QI2573	C18n_QI2573
C18n_QI2646	C18n_QI2646
C18n_QI2850	C18n_QI2850
C18n_QI2888	C18n_QI2888
C18n_QI2904	C18n_QI2904
C18n_QI3111	C18n_QI3111
C18n_QI3115	C18n_QI3115
C18n_QI3120	C18n_QI3120
C18n_QI3264	C18n_QI3264
C18n_QI3283	C18n_QI3283
C18n_QI3345	C18n_QI3345
C18n_QI3404	C18n_QI3404
C18n_QI3453	C18n_QI3453
C18n_QI3527	C18n_QI3527
C18n_QI3758	C18n_QI3758
C18n_QI3976	C18n_QI3976
C18n_QI4086	C18n_QI4086
C18n_QI4174	C18n_QI4174
C18n_QI4903	C18n_QI4903
C18n_QI5113	C18n_QI5113
C18n_QI5569	C18n_QI5569
C18n_QI5992	C18n_QI5992
C18n_QI6056	C18n_QI6056
C18n_QI6925	C18n_QI6925
C18n_QI7006	C18n_QI7006
C18n_QI7939	C18n_QI7939
C18n_QI8067	C18n_QI8067
C18n_QI8429	C18n_QI8429
C18n_QI9183	C18n_QI9183
C18n_QI9502	C18n_QI9502
C18n_QI10810	C18n_QI10810
C18n_QI11533	C18n_QI11533
C18n_QI99	C18n_QI99
C18n_QI117	C18n_QI117
C18n_QI279	C18n_QI279
C18n_QI293	C18n_QI293
C18n_QI370	C18n_QI370
C18n_QI393	C18n_QI393
C18n_QI407	C18n_QI407
C18n_QI429	C18n_QI429
C18n_QI431	C18n_QI431
C18n_QI446	C18n_QI446
C18n_QI486	C18n_QI486
C18n_QI508	C18n_QI508
C18n_QI593	C18n_QI593
C18n_QI625	C18n_QI625
C18n_QI630	C18n_QI630
C18n_QI689	C18n_QI689
C18n_QI729	C18n_QI729
C18n_QI857	C18n_QI857
C18n_QI904	C18n_QI904
C18n_QI905	C18n_QI905
C18n_QI932	C18n_QI932
C18n_QI960	C18n_QI960
C18n_QI982	C18n_QI982
C18n_QI990	C18n_QI990
C18n_QI1035	C18n_QI1035
C18n_QI1065	C18n_QI1065
C18n_QI1147	C18n_QI1147
C18n_QI1150	C18n_QI1150
C18n_QI1215	C18n_QI1215
C18n_QI1281	C18n_QI1281
C18n_QI1314	C18n_QI1314
C18n_QI1342	C18n_QI1342
C18n_QI1354	C18n_QI1354
C18n_QI1364	C18n_QI1364
C18n_QI1474	C18n_QI1474
C18n_QI1480	C18n_QI1480
C18n_QI1490	C18n_QI1490
C18n_QI1627	C18n_QI1627
C18n_QI1685	C18n_QI1685
C18n_QI1698	C18n_QI1698
C18n_QI1732	C18n_QI1732
C18n_QI1768	C18n_QI1768
C18n_QI2033	C18n_QI2033
C18n_QI2071	C18n_QI2071
C18n_QI2108	C18n_QI2108
C18n_QI2109	C18n_QI2109
C18n_QI2193	C18n_QI2193
C18n_QI2280	C18n_QI2280
C18n_QI2640	C18n_QI2640
C18n_QI2870	C18n_QI2870
C18n_QI2876	C18n_QI2876
C18n_QI2925	C18n_QI2925
C18n_QI2980	C18n_QI2980
C18n_QI3042	C18n_QI3042
C18n_QI3176	C18n_QI3176
C18n_QI3213	C18n_QI3213
C18n_QI3553	C18n_QI3553
C18n_QI3603	C18n_QI3603
C18n_QI3645	C18n_QI3645
C18n_QI3707	C18n_QI3707
C18n_QI3749	C18n_QI3749
C18n_QI4029	C18n_QI4029
C18n_QI4103	C18n_QI4103
C18n_QI4154	C18n_QI4154
C18n_QI4181	C18n_QI4181
C18n_QI4258	C18n_QI4258
C18n_QI4572	C18n_QI4572
C18n_QI4953	C18n_QI4953
C18n_QI4989	C18n_QI4989
C18n_QI5016	C18n_QI5016
C18n_QI5021	C18n_QI5021
C18n_QI5058	C18n_QI5058
C18n_QI5071	C18n_QI5071
C18n_QI5080	C18n_QI5080
C18n_QI5322	C18n_QI5322
C18n_QI5383	C18n_QI5383
C18n_QI5505	C18n_QI5505
C18n_QI5631	C18n_QI5631
C18n_QI5681	C18n_QI5681
C18n_QI5748	C18n_QI5748
C18n_QI6250	C18n_QI6250
C18n_QI6334	C18n_QI6334
C18n_QI6876	C18n_QI6876
C18n_QI7427	C18n_QI7427
C18n_QI7655	C18n_QI7655
C18n_QI8149	C18n_QI8149
C18n_QI8209	C18n_QI8209
C18n_QI8285	C18n_QI8285
C18n_QI9248	C18n_QI9248
C18n_QI11303	C18n_QI11303
C18n_QI202	C18n_QI202
C18n_QI214	C18n_QI214
C18n_QI736	C18n_QI736
C18n_QI760	C18n_QI760
C18n_QI865	C18n_QI865
C18n_QI913	C18n_QI913
C18n_QI1789	C18n_QI1789
C18n_QI2747	C18n_QI2747
C18n_QI3222	C18n_QI3222
C18n_QI3336	C18n_QI3336
C18n_QI3449	C18n_QI3449
C18n_QI3473	C18n_QI3473
C18n_QI3891	C18n_QI3891
C18n_QI3980	C18n_QI3980
C18n_QI4877	C18n_QI4877
C18n_QI5200	C18n_QI5200
C18n_QI6132	C18n_QI6132
C18n_QI6180	C18n_QI6180
C18n_QI6784	C18n_QI6784
C18n_QI7178	C18n_QI7178
C18n_QI7228	C18n_QI7228
C18n_QI435	C18n_QI435
C18n_QI831	C18n_QI831
C18n_QI898	C18n_QI898
C18n_QI1063	C18n_QI1063
C18n_QI1105	C18n_QI1105
C18n_QI1371	C18n_QI1371
C18n_QI1666	C18n_QI1666
C18n_QI2085	C18n_QI2085
C18n_QI2296	C18n_QI2296
C18n_QI3638	C18n_QI3638
C18n_QI3974	C18n_QI3974
C18n_QI4222	C18n_QI4222
C18n_QI4291	C18n_QI4291
C18n_QI6595	C18n_QI6595
C18n_QI8878	C18n_QI8878
C18n_QI240	C18n_QI240
C18n_QI453	C18n_QI453
C18n_QI481	C18n_QI481
