metabolite_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	direction	feature	coef	stderr	N	N.not.0	pval	qval	original_metabolite_id	abs_beta	q_value_safe	p_value_safe	selection_source	metabolite_label
HILn_QI25565	UC_vs_non_IBD	model_group	UC	-4.92843698725583	0.893626678724326	1.10973255304539e-6	0.00160342277663911	56	Maaslin2_LM_LOG	lower_in_case_group	HILn_QI25565	-4.92843698725583	0.893626678724326	56	56	1.10973255304539e-6	0.00160342277663911	HILn_QI25565	4.92843698725583	0.00160342277663911	1.10973255304539e-6	FDR_lt_0.10	HILn QI25565
C18n_QI2228	UC_vs_non_IBD	model_group	UC	-3.62649055639007	0.657681061488191	1.11387480141654e-6	0.00160342277663911	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI2228	-3.62649055639007	0.657681061488191	56	56	1.11387480141654e-6	0.00160342277663911	C18n_QI2228	3.62649055639007	0.00160342277663911	1.11387480141654e-6	FDR_lt_0.10	C18n QI2228
C18n_QI1784	UC_vs_non_IBD	model_group	UC	2.98049531408185	0.541337267295815	1.14731814170636e-6	0.00163213429480999	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1784	2.98049531408185	0.541337267295815	56	56	1.14731814170636e-6	0.00163213429480999	C18n_QI1784	2.98049531408185	0.00163213429480999	1.14731814170636e-6	FDR_lt_0.10	C18n QI1784
C18n_QI2086	UC_vs_non_IBD	model_group	UC	4.33034141304211	0.787667535370504	1.18120030165524e-6	0.00166079509390172	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI2086	4.33034141304211	0.787667535370504	56	56	1.18120030165524e-6	0.00166079509390172	C18n_QI2086	4.33034141304211	0.00166079509390172	1.18120030165524e-6	FDR_lt_0.10	C18n QI2086
C8p_QI10300	IBD_vs_non_IBD	model_group	IBD	2.89701466865248	0.509049752591176	1.2406557952577e-7	0.00166686241612189	105	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI10300	2.89701466865248	0.509049752591176	105	105	1.2406557952577e-7	0.00166686241612189	C8p_QI10300	2.89701466865248	0.00166686241612189	1.2406557952577e-7	FDR_lt_0.10	C8p QI10300
C18n_QI3702	UC_vs_non_IBD	model_group	UC	-5.89953689990613	1.07424782895529	1.20639312924392e-6	0.00167672005059674	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI3702	-5.89953689990613	1.07424782895529	56	56	1.20639312924392e-6	0.00167672005059674	C18n_QI3702	5.89953689990613	0.00167672005059674	1.20639312924392e-6	FDR_lt_0.10	C18n QI3702
HILn_QI27528	UC_vs_non_IBD	model_group	UC	-3.94749810943334	0.71960657020417	1.23325298329113e-6	0.00169457368447268	56	Maaslin2_LM_LOG	lower_in_case_group	HILn_QI27528	-3.94749810943334	0.71960657020417	56	56	1.23325298329113e-6	0.00169457368447268	HILn_QI27528	3.94749810943334	0.00169457368447268	1.23325298329113e-6	FDR_lt_0.10	HILn QI27528
C18n_QI736	UC_vs_non_IBD	model_group	UC	4.59983679234015	0.839352094826498	1.25737189786123e-6	0.00170830219264702	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI736	4.59983679234015	0.839352094826498	56	56	1.25737189786123e-6	0.00170830219264702	C18n_QI736	4.59983679234015	0.00170830219264702	1.25737189786123e-6	FDR_lt_0.10	C18n QI736
C18n_QI851	UC_vs_non_IBD	model_group	UC	3.76328007943294	0.687691342875182	1.29335524469659e-6	0.00172315914430449	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI851	3.76328007943294	0.687691342875182	56	56	1.29335524469659e-6	0.00172315914430449	C18n_QI851	3.76328007943294	0.00172315914430449	1.29335524469659e-6	FDR_lt_0.10	C18n QI851
HILp_QI3766	UC_vs_non_IBD	model_group	UC	3.49616298994466	0.638966117737948	1.29680843324988e-6	0.00172315914430449	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI3766	3.49616298994466	0.638966117737948	56	56	1.29680843324988e-6	0.00172315914430449	HILp_QI3766	3.49616298994466	0.00172315914430449	1.29680843324988e-6	FDR_lt_0.10	HILp QI3766
C18n_QI1750	UC_vs_non_IBD	model_group	UC	6.59821965318503	1.20971098686571	1.37918034335023e-6	0.00177412477401302	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1750	6.59821965318503	1.20971098686571	56	56	1.37918034335023e-6	0.00177412477401302	C18n_QI1750	6.59821965318503	0.00177412477401302	1.37918034335023e-6	FDR_lt_0.10	C18n QI1750
C18n_QI2095	UC_vs_non_IBD	model_group	UC	-7.35043317859834	1.34919766292493	1.41096938372736e-6	0.00179591153622679	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI2095	-7.35043317859834	1.34919766292493	56	56	1.41096938372736e-6	0.00179591153622679	C18n_QI2095	7.35043317859834	0.00179591153622679	1.41096938372736e-6	FDR_lt_0.10	C18n QI2095
C18n_QI1515	UC_vs_non_IBD	model_group	UC	5.6541829607153	1.04025049123141	1.47594862428672e-6	0.00182537539541811	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1515	5.6541829607153	1.04025049123141	56	56	1.47594862428672e-6	0.00182537539541811	C18n_QI1515	5.6541829607153	0.00182537539541811	1.47594862428672e-6	FDR_lt_0.10	C18n QI1515
