feature_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	feature_label	feature	coef	stderr	N	N.not.0	pval	qval	original_feature_id	direction
Anaerotruncus	CD_vs_non_IBD	model_group	CD	2.9609580665565e-4	3.2779582714732e-4	0.36942474404343	0.701708227496494	75	MaasLin2_LM_CLR	Anaerotruncus	Anaerotruncus	2.9609580665565e-4	3.2779582714732e-4	75	0	0.36942474404343	0.701708227496494	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	higher_in_case_group
Parabacteroides	CD_vs_non_IBD	model_group	CD	0.0179967217061144	0.0201125002600436	0.373915967113335	0.701708227496494	75	MaasLin2_LM_CLR	Parabacteroides	Parabacteroides	0.0179967217061144	0.0201125002600436	75	41	0.373915967113335	0.701708227496494	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	higher_in_case_group
Parasutterella	CD_vs_non_IBD	model_group	CD	7.6540123209388e-4	8.7805963880259e-4	0.38631230954467	0.701708227496494	75	MaasLin2_LM_CLR	Parasutterella	Parasutterella	7.6540123209388e-4	8.7805963880259e-4	75	1	0.38631230954467	0.701708227496494	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	higher_in_case_group
Dorea	CD_vs_non_IBD	model_group	CD	6.4223986791162e-4	7.9846181782045e-4	0.423882069906178	0.710300614712461	75	MaasLin2_LM_CLR	Dorea	Dorea	6.4223986791162e-4	7.9846181782045e-4	75	0	0.423882069906178	0.710300614712461	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	higher_in_case_group
Coprococcus	CD_vs_non_IBD	model_group	CD	-9.8861798161249e-4	0.00130462961074784	0.451092468737037	0.743349561158215	75	MaasLin2_LM_CLR	Coprococcus	Coprococcus	-9.8861798161249e-4	0.00130462961074784	75	1	0.451092468737037	0.743349561158215	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	lower_in_case_group
Clostridium	CD_vs_non_IBD	model_group	CD	0.0050894851743701	0.00818568052252366	0.53609461072065	0.813899138539032	75	MaasLin2_LM_CLR	Clostridium	Clostridium	0.0050894851743701	0.00818568052252366	75	14	0.53609461072065	0.813899138539032	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	higher_in_case_group
Faecalibacterium	CD_vs_non_IBD	model_group	CD	-0.0133717763917912	0.0218551009044656	0.542599425692688	0.813899138539032	75	MaasLin2_LM_CLR	Faecalibacterium	Faecalibacterium	-0.0133717763917912	0.0218551009044656	75	50	0.542599425692688	0.813899138539032	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	lower_in_case_group
Bacteroides	CD_vs_non_IBD	model_group	CD	0.0244884532086784	0.0446355793615917	0.58497998644744	0.834013805855349	75	MaasLin2_LM_CLR	Bacteroides	Bacteroides	0.0244884532086784	0.0446355793615917	75	69	0.58497998644744	0.834013805855349	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	higher_in_case_group
Odoribacter	CD_vs_non_IBD	model_group	CD	0.00153046712405386	0.00293958974527759	0.604237693040461	0.834013805855349	75	MaasLin2_LM_CLR	Odoribacter	Odoribacter	0.00153046712405386	0.00293958974527759	75	8	0.604237693040461	0.834013805855349	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	higher_in_case_group
Collinsella	CD_vs_non_IBD	model_group	CD	1.9066233228846e-4	4.1670849226313e-4	0.64867740455416	0.834013805855349	75	MaasLin2_LM_CLR	Collinsella	Collinsella	1.9066233228846e-4	4.1670849226313e-4	75	0	0.64867740455416	0.834013805855349	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	higher_in_case_group
